,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,10.0,0.62965,0.70543,405,60.0,0.18806,0.24710,625,1005.0,0.24057,0.50990,660
Exe 2,16.0,0.53670,0.65794,408,58.0,0.18981,0.24688,611,965.0,0.25038,0.50899,662
Exe 3,14.0,0.51973,0.62582,411,61.0,0.19020,0.25022,639,994.0,0.23170,0.49808,667
Exe 4,12.0,0.63066,0.72160,405,58.0,0.18956,0.24664,613,999.0,0.24378,0.51150,734
Exe 5,9.0,0.63109,0.69929,409,54.0,0.18798,0.24111,609,961.0,0.24942,0.50696,672
Media,12.2,0.58957,0.68202,407,58.2,0.18912,0.24639,619,984.8,0.24317,0.50708,679
