,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,9.0,0.72657,0.76291,1044,95.0,0.20425,0.25371,2110,885.0,0.15101,0.27441,4793
Exe 2,12.0,0.71304,0.76149,1056,93.0,0.20979,0.25821,2118,962.0,0.14740,0.28154,4748
Exe 3,7.0,0.74135,0.76962,1051,101.0,0.21990,0.27248,2121,924.0,0.15998,0.28882,4784
Exe 4,9.0,0.75416,0.79050,1049,32.0,0.23525,0.25191,2420,1028.0,0.15805,0.30139,4730
Exe 5,5.0,0.79170,0.81189,1039,111.0,0.24640,0.30419,2420,1002.0,0.15154,0.29126,4749
Media,8.4,0.74536,0.77928,1047,86.4,0.22312,0.26810,2237,960.2,0.15359,0.28749,4760
