,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,8.0,0.72874,0.76105,1045,25.0,0.23617,0.24919,2179,861.0,0.14694,0.26700,4850
Exe 2,15.0,0.70134,0.76191,1035,125.0,0.19417,0.25925,2152,904.0,0.14664,0.27270,4850
Exe 3,20.0,0.66157,0.74233,1029,33.0,0.23402,0.25120,2167,855.0,0.14841,0.26763,4884
Exe 4,13.0,0.70100,0.75350,1069,33.0,0.23782,0.25500,2140,839.0,0.14408,0.26107,4835
Exe 5,12.0,0.71877,0.76723,1045,35.0,0.24048,0.25870,2163,948.0,0.14547,0.27766,4820
Media,13.6,0.70228,0.75720,1044,50.2,0.22853,0.25467,2160,881.4,0.14631,0.26921,4847
