,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,10.0,0.66197,0.73774,379,274.0,0.29187,0.56150,652,678.0,0.22194,0.40364,2173
Exe 2,5.0,0.71394,0.75183,380,131.0,0.34062,0.46953,710,719.0,0.21694,0.40962,2200
Exe 3,4.0,0.68536,0.71567,390,112.0,0.24151,0.35173,665,712.0,0.22365,0.41446,2192
Exe 4,8.0,0.60911,0.66973,390,175.0,0.26248,0.43468,685,742.0,0.21568,0.41453,2722
Exe 5,5.0,0.66539,0.70328,380,133.0,0.28434,0.41521,660,715.0,0.22688,0.41849,2350
Media,6.4,0.66715,0.71565,383,165.0,0.28416,0.44653,674,713.2,0.22102,0.41215,2327
