,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,9.0,0.72657,0.76291,1075,122.0,0.20074,0.26426,2215,1039.0,0.15034,0.29522,4963
Exe 2,13.0,0.71307,0.76556,1074,143.0,0.19868,0.27312,2199,1154.0,0.15727,0.31819,4916
Exe 3,12.0,0.71277,0.76123,1070,75.0,0.24832,0.28736,2205,994.0,0.16361,0.30221,4910
Exe 4,15.0,0.69293,0.75350,1060,38.0,0.23933,0.25912,2223,1160.0,0.15410,0.31586,4923
Exe 5,15.0,0.69923,0.75980,1076,77.0,0.22239,0.26248,2230,841.0,0.14946,0.26673,4921
Media,12.8,0.70891,0.76060,1071,91.0,0.22189,0.26927,2214,1037.6,0.15496,0.29964,4926
