,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,2.0,0.70774,0.72290,1711,150.0,0.29126,0.43887,1715,596.0,0.16177,0.32149,3170
Exe 2,20.0,0.61435,0.76591,1670,16.0,0.24416,0.25990,1733,531.0,0.15189,0.29419,3196
Exe 3,19.0,0.70376,0.84774,1683,32.0,0.25150,0.28299,1713,651.0,0.15260,0.32706,3169
Exe 4,19.0,0.71700,0.86098,1682,46.0,0.18549,0.23076,1758,604.0,0.16822,0.33009,3152
Exe 5,10.0,0.59725,0.67303,1680,119.0,0.21559,0.33269,1720,543.0,0.15927,0.30478,3163
Media,14.0,0.66802,0.77411,1685,72.6,0.23760,0.30904,1727,585.0,0.15875,0.31552,3170
