,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,10.0,0.62111,0.69689,463,55.0,0.18839,0.24251,1046,380.0,0.14269,0.24453,2958
Exe 2,6.0,0.60873,0.65419,473,62.0,0.18668,0.24769,1068,444.0,0.14088,0.25986,3035
Exe 3,7.0,0.60850,0.66154,470,69.0,0.19024,0.25814,1061,411.0,0.14290,0.25304,3001
Exe 4,11.0,0.61634,0.69970,470,51.0,0.18813,0.23831,1064,424.0,0.15115,0.26478,2966
Exe 5,10.0,0.61014,0.68591,437,53.0,0.18753,0.23968,1036,462.0,0.13830,0.26211,3019
Media,8.8,0.61296,0.67965,462,58.0,0.18819,0.24527,1055,424.2,0.14318,0.25686,2995
