,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,18.0,0.70251,0.77519,500,38.0,0.24466,0.26444,1132,886.0,0.14432,0.26787,3253
Exe 2,43.0,0.59215,0.76578,476,110.0,0.20567,0.26293,1113,915.0,0.14274,0.27033,3287
Exe 3,22.0,0.71255,0.80139,465,99.0,0.21159,0.26313,1131,803.0,0.14727,0.25924,3310
Exe 4,24.0,0.66720,0.76411,492,32.0,0.24993,0.26659,1121,793.0,0.14788,0.25846,3302
Exe 5,21.0,0.71507,0.79987,484,34.0,0.24597,0.26367,1119,850.0,0.14216,0.26069,3259
Media,25.6,0.67790,0.78127,483,62.6,0.23156,0.26415,1123,849.4,0.14488,0.26332,3282
