,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,42.0,0.60920,0.77880,295,43.0,0.24939,0.27177,675,409.0,0.13805,0.19509,807
Exe 2,35.0,0.60612,0.74745,344,114.0,0.20975,0.26910,691,536.0,0.13222,0.20696,813
Exe 3,10.0,0.73362,0.77400,181,35.0,0.24755,0.26577,685,385.0,0.12835,0.18204,820
Exe 4,19.0,0.72147,0.79819,157,36.0,0.25014,0.26888,700,367.0,0.12431,0.17549,810
Exe 5,36.0,0.61153,0.75690,378,39.0,0.25014,0.27044,681,487.0,0.12923,0.19713,815
Media,28.4,0.65639,0.77107,271,53.4,0.24139,0.26919,686,436.8,0.13043,0.19134,813
