,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,9.0,0.71804,0.75438,701,19.0,0.24793,0.25782,1403,399.0,0.12962,0.18525,3183
Exe 2,12.0,0.70423,0.75268,692,98.0,0.20587,0.25689,1419,275.0,0.13489,0.17324,3210
Exe 3,8.0,0.72874,0.76105,700,85.0,0.20635,0.25060,1422,220.0,0.13532,0.16600,3150
Exe 4,13.0,0.70100,0.75350,694,103.0,0.19827,0.25189,1414,371.0,0.13290,0.18463,3169
Exe 5,9.0,0.75416,0.79050,692,82.0,0.20629,0.24898,1420,235.0,0.13484,0.16761,3155
Media,10.2,0.72123,0.76242,695,77.4,0.21294,0.25324,1415,300.0,0.13351,0.17535,3173
