,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,7.0,0.59992,0.65296,1022,38.0,0.18919,0.22658,1708,484.0,0.15574,0.28545,3072
Exe 2,7.0,0.59893,0.65198,981,18.0,0.23462,0.25234,1689,531.0,0.15416,0.29646,3098
Exe 3,5.0,0.59283,0.63072,990,53.0,0.19329,0.24545,1680,529.0,0.15223,0.29399,3310
Exe 4,5.0,0.59873,0.63662,990,45.0,0.18270,0.22698,1900,456.0,0.15892,0.28112,3040
Exe 5,5.0,0.59731,0.63520,990,62.0,0.18991,0.25092,1660,435.0,0.14623,0.26281,3079
Media,5.8,0.59754,0.64150,994,43.2,0.19794,0.24045,1727,487.0,0.15346,0.28397,3119
