,Zoo,,,,Glass,,,,Bupa,,,
, Infeasable , Error_Dist , Aggregate , Time , Infeasable , Error_Dist , Aggregate , Time , Infeasable , Error_Dist , Aggregate , Time 
Ejecucion 1,0,0.036441,0.941241,7,5,0.025827,0.395038,18,40,0.008844,0.231124,246
Ejecucion 2,1,0.032523,0.944900,5,76,0.017984,0.457061,18,39,0.003285,0.236415,174
Ejecucion 3,0,0.000601,0.905401,5,0,0.018198,0.382488,14,49,0.004990,0.237390,196
Ejecucion 4,18,0.076728,1.117925,5,0,0.017587,0.381877,14,23,0.007439,0.227973,94
Ejecucion 5,1,0.032049,0.944427,4,1,0.013226,0.378501,20,7,0.011313,0.219811,98
Media,4,0.035668,0.970779,5,16,0.018565,0.398993,16,31,0.007174,0.230543,161
