,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,36.0,0.72127,0.86665,30,42.0,0.25039,0.27226,75,220.0,0.11515,0.14582,760
Exe 2,43.0,0.59215,0.76578,19,110.0,0.20567,0.26293,80,182.0,0.11896,0.14434,857
Exe 3,22.0,0.72954,0.81838,20,91.0,0.21680,0.26418,90,232.0,0.10857,0.14092,795
Exe 4,17.0,0.77043,0.83907,30,40.0,0.25038,0.27121,80,189.0,0.11928,0.14564,703
Exe 5,37.0,0.69725,0.84666,31,136.0,0.20838,0.27918,75,186.0,0.12412,0.15006,600
Media,31.0,0.70213,0.82731,26,83.8,0.22632,0.26995,80,201.8,0.11722,0.14536,743
