,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,7.0,0.59773,0.65077,604,37.0,0.18657,0.22298,954,210.0,0.13552,0.19180,1599
Exe 2,6.0,0.59978,0.64525,614,26.0,0.24302,0.26860,959,228.0,0.14495,0.20605,1577
Exe 3,5.0,0.60002,0.63791,620,41.0,0.19467,0.23502,960,211.0,0.13625,0.19280,1590
Exe 4,6.0,0.59978,0.64525,610,51.0,0.18459,0.23477,969,202.0,0.15195,0.20608,1590
Exe 5,7.0,0.66987,0.72292,610,15.0,0.24429,0.25905,964,232.0,0.14648,0.20865,1609
Media,6.2,0.61344,0.66042,611,34.0,0.21063,0.24409,961,216.6,0.14303,0.20108,1593
