,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,23.0,0.79459,0.96888,611,48.0,0.19379,0.24102,959,153.0,0.14527,0.18627,1575
Exe 2,6.0,0.75619,0.80166,613,12.0,0.23341,0.24522,970,146.0,0.13838,0.17751,1546
Exe 3,7.0,0.59191,0.64496,619,37.0,0.19352,0.22993,967,194.0,0.13967,0.19166,1619
Exe 4,7.0,0.59098,0.64403,646,48.0,0.18857,0.23581,962,145.0,0.13792,0.17677,1561
Exe 5,7.0,0.58143,0.63448,627,48.0,0.19501,0.24225,970,229.0,0.14026,0.20163,1580
Media,10.0,0.66302,0.73880,623,38.6,0.20086,0.23884,965,173.4,0.14030,0.18677,1576
