,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,10.0,0.72903,0.76941,375,42.0,0.25039,0.27226,684,226.0,0.11338,0.14490,1684
Exe 2,43.0,0.59215,0.76578,299,110.0,0.20567,0.26293,659,243.0,0.12292,0.15680,2122
Exe 3,10.0,0.73362,0.77400,267,91.0,0.21680,0.26418,705,312.0,0.11807,0.16158,1245
Exe 4,19.0,0.70163,0.77835,298,32.0,0.24598,0.26264,544,216.0,0.11711,0.14723,1538
Exe 5,16.0,0.71087,0.77548,388,126.0,0.20438,0.26998,778,214.0,0.11714,0.14698,1333
Media,19.6,0.69346,0.77260,325,80.2,0.22465,0.26640,674,242.2,0.11773,0.15150,1584
