;Zoo;;;;Glass;;;;Bupa;;;
;Infeasable;Error_Dist;Aggregate;Time;Infeasable;Error_Dist;Aggregate;Time;Infeasable;Error_Dist;Aggregate;Time
COPKM;1;0.071652;0.982105;6;0;0.030977;0.333729;22;9;0.008964;0.238065;162
BL;22;0.180971;0.815897;417;42;0.114008;0.272356;1646;223;0.114316;0.146055;12006
