,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,38.0,0.61273,0.76618,358,41.0,0.24420,0.26555,744,848.0,0.15068,0.26892,937
Exe 2,37.0,0.59728,0.74669,355,110.0,0.20567,0.26293,734,821.0,0.14217,0.25666,933
Exe 3,34.0,0.60557,0.74287,341,91.0,0.21680,0.26418,732,890.0,0.14597,0.27007,942
Exe 4,27.0,0.66650,0.77553,331,99.0,0.21003,0.26157,750,917.0,0.14350,0.27137,920
Exe 5,41.0,0.61014,0.77570,296,36.0,0.24773,0.26647,742,972.0,0.15176,0.28730,958
Media,35.4,0.61845,0.76139,336,75.4,0.22489,0.26414,740,889.6,0.14682,0.27086,938
