,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,9.0,0.65768,0.72588,984,41.0,0.18262,0.22297,1750,457.0,0.16043,0.28290,3159
Exe 2,18.0,0.76714,0.90353,1034,35.0,0.21450,0.24894,1702,509.0,0.15824,0.29464,3130
Exe 3,5.0,0.60220,0.64009,991,31.0,0.22015,0.25065,1730,599.0,0.15333,0.31386,3172
Exe 4,5.0,0.59283,0.63072,976,39.0,0.24599,0.28436,1720,526.0,0.16158,0.30254,3145
Exe 5,5.0,0.65836,0.69625,976,59.0,0.19372,0.25178,1729,581.0,0.16659,0.32229,3141
Media,8.4,0.65564,0.71929,992,41.0,0.21140,0.25174,1726,534.4,0.16003,0.30325,3149
