,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,9.0,0.62005,0.68825,348,55.0,0.18730,0.24142,601,488.0,0.14124,0.27202,744
Exe 2,11.0,0.60192,0.68527,357,49.0,0.19287,0.24109,629,509.0,0.15586,0.29226,718
Exe 3,7.0,0.62915,0.68219,340,51.0,0.19349,0.24367,607,574.0,0.15709,0.31092,696
Exe 4,9.0,0.61403,0.68223,371,53.0,0.18952,0.24167,605,517.0,0.14944,0.28799,676
Exe 5,7.0,0.62236,0.67541,376,48.0,0.19310,0.24033,609,463.0,0.14711,0.27119,721
Media,8.6,0.61750,0.68267,358,51.2,0.19126,0.24164,610,510.2,0.15015,0.28687,711
