,Inf,GDeviation,Fitness,Time,Inf,GDeviation,Fitness,Time,Inf,GDeviation,Fitness,Time
Exe 1,27.0,0.68140,0.79043,5322,31.0,0.23805,0.25419,10685,922.0,0.15540,0.28396,16521
Exe 2,9.0,0.75416,0.79050,5274,45.0,0.24386,0.26729,10654,1055.0,0.14715,0.29426,16600
Exe 3,12.0,0.72598,0.77444,5272,102.0,0.19973,0.25283,10629,740.0,0.14849,0.25167,16602
Exe 4,8.0,0.73495,0.76725,5299,33.0,0.24718,0.26436,10632,1026.0,0.14833,0.29140,16576
Exe 5,67.0,0.86332,1.13388,5236,121.0,0.19597,0.25896,10642,799.0,0.14934,0.26076,16597
Media,24.6,0.75196,0.85130,5280,66.4,0.22496,0.25952,10648,908.4,0.14974,0.27641,16579
