,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,6.0,0.58660,0.63207,1584,66.0,0.22846,0.29341,1679,582.0,0.15639,0.31235,3801
Exe 2,11.0,0.60754,0.69090,1519,42.0,0.22345,0.26477,1653,594.0,0.16074,0.31992,3119
Exe 3,8.0,0.59773,0.65836,1525,39.0,0.23605,0.27443,1635,590.0,0.15928,0.31740,3012
Exe 4,1.0,0.74055,0.74813,1530,70.0,0.21966,0.28854,1625,511.0,0.15276,0.28970,3070
Exe 5,4.0,0.74122,0.77153,1520,22.0,0.23872,0.26036,1646,505.0,0.16262,0.29795,3013
Media,6.0,0.65473,0.70020,1535,47.8,0.22926,0.27630,1647,556.4,0.15836,0.30747,3203
