,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time,Inf,GDev,Fitness,Time
Exe 1,12.0,0.63471,0.72564,341,56.0,0.18781,0.24291,735,137.0,0.11580,0.15251,1233
Exe 2,11.0,0.59326,0.67662,309,21.0,0.24400,0.26467,688,123.0,0.11571,0.14867,1063
Exe 3,12.0,0.61710,0.70803,262,30.0,0.23543,0.26495,641,119.0,0.11799,0.14988,1493
Exe 4,10.0,0.59600,0.67177,304,52.0,0.19800,0.24917,695,103.0,0.12009,0.14769,1277
Exe 5,10.0,0.61014,0.68591,334,42.0,0.21074,0.25207,668,122.0,0.11394,0.14664,1278
Media,11.0,0.61024,0.69360,310,40.2,0.21520,0.25475,685,120.8,0.11671,0.14908,1268
